Command: show arp
Executed at: 2024-08-13 11:13:10
Output:
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  161.8.79.11           102   ecf4.bbde.a820  ARPA   Vlan705
Internet  161.8.79.13            45   ecf4.bbdc.5259  ARPA   Vlan705
Internet  161.8.79.17             -   cc98.91f1.79f6  ARPA   Vlan718
Internet  161.8.79.18             0   0c38.3e12.2ba4  ARPA   Vlan718
Internet  161.8.79.19             2   c81f.ea72.8462  ARPA   Vlan718
Internet  161.8.79.20             0   Incomplete      ARPA   
Internet  161.8.79.21            91   0008.306f.5141  ARPA   Vlan718
Internet  161.8.79.26             0   c81f.ea5b.9ec1  ARPA   Vlan718
Internet  161.8.79.28             0   c81f.ea70.ad9a  ARPA   Vlan718
Internet  161.8.79.29           118   c81f.ead8.916e  ARPA   Vlan718
Internet  161.8.79.30            56   c81f.ead8.916e  ARPA   Vlan718
Internet  161.8.108.1             -   cc98.91f1.79e1  ARPA   Vlan108
Internet  161.8.108.2           213   1078.d24e.65b2  ARPA   Vlan108
Internet  161.8.108.3             7   0025.909b.df16  ARPA   Vlan108
Internet  161.8.108.5           237   0026.73da.9f7c  ARPA   Vlan108
Internet  161.8.108.6             5   74e6.e2dd.0b7e  ARPA   Vlan108
Internet  161.8.108.9             9   18c0.4d15.b4f5  ARPA   Vlan108
Internet  161.8.108.10            0   e430.2262.58cb  ARPA   Vlan108
Internet  161.8.108.11            0   0023.246e.459a  ARPA   Vlan108
Internet  161.8.108.12            6   d4ea.0e8e.6c58  ARPA   Vlan108
Internet  161.8.108.13            5   d85e.d315.df1f  ARPA   Vlan108
Internet  161.8.108.14            0   00c0.eeb1.cb75  ARPA   Vlan108
Internet  161.8.108.15           72   b42e.990c.0680  ARPA   Vlan108
Internet  161.8.108.16            1   001b.a98a.69b5  ARPA   Vlan108
Internet  161.8.108.17            6   3cb1.5b5c.3d50  ARPA   Vlan108
Internet  161.8.108.18            1   d050.9999.b6f9  ARPA   Vlan108
Internet  161.8.108.19           69   e0d5.5e0c.1c99  ARPA   Vlan108
Internet  161.8.108.21            5   b885.84aa.9ebb  ARPA   Vlan108
Internet  161.8.108.22            1   001b.a9f3.7f5b  ARPA   Vlan108
Internet  161.8.108.23            0   b42e.990c.4845  ARPA   Vlan108
Internet  161.8.108.24            1   001b.a9ec.2304  ARPA   Vlan108
Internet  161.8.108.26            2   d85e.d315.df22  ARPA   Vlan108
Internet  161.8.108.27           32   a0a3.f090.0671  ARPA   Vlan108
Internet  161.8.108.28           83   1c1b.0dee.cc37  ARPA   Vlan108
Internet  161.8.108.29            7   0080.7797.c539  ARPA   Vlan108
Internet  161.8.108.30            1   c860.0086.2bb3  ARPA   Vlan108
Internet  161.8.108.31            1   18c0.4d15.a8ba  ARPA   Vlan108
Internet  161.8.108.32            5   d4ea.0e92.260f  ARPA   Vlan108
Internet  161.8.108.35            0   902b.3436.ef99  ARPA   Vlan108
Internet  161.8.108.36            2   18c0.4d17.0131  ARPA   Vlan108
Internet  161.8.108.37           68   bc22.2864.9ed4  ARPA   Vlan108
Internet  161.8.108.38            6   0008.9bc7.75fb  ARPA   Vlan108
Internet  161.8.108.39           61   accc.8e89.0381  ARPA   Vlan108
